FechaContable,FechaTransaccion,HoraTransaccion,Empresa,Paradero,StrParadero,Linea,StrLinea,Bus,TipoValidacion,RutaSae,StrRutaSae,Cenefa
2020-11-15,2020-11-15,05:05:53,105,48437,068B05_GM|Liceo Salomï¿½abio_068B05,976,801_GM,504109,Transbordo,4116,,068B05
2020-11-15,2020-11-15,05:05:55,105,53570,146A12_TM|146A12_El Rancho y El Ranchito,1132,950,504023,Transbordo,4981,,146A12
2020-11-15,2020-11-15,05:05:56,105,49717,110B05_CE,195,C25,507066,Transbordo,4679,,110B05
2020-11-15,2020-11-15,05:05:57,105,48437,068B05_GM|Liceo Salomï¿½abio_068B05,976,801_GM,504109,Transbordo,4116,,068B05
2020-11-15,2020-11-15,05:06:07,105,35015,375A12_GM|375A12,385,539,507036,Transbordo,4361,,375A12
2020-11-15,2020-11-15,05:06:09,105,27711,111A05_GM|111A05 - U.M. Emaus Hospital Engativ,945,466_GM,507004,Transbordo,4369,,111A05
2020-11-15,2020-11-15,05:06:11,105,44139,064B05_GM|Br Bonaire Cl 64,320,C101,504354,Transbordo,3192,,064B05
2020-11-15,2020-11-15,05:06:11,105,27711,111A05_GM|111A05 - U.M. Emaus Hospital Engativ,945,466_GM,507004,Transbordo,4369,,111A05
2020-11-15,2020-11-15,05:06:12,105,33907,107A12_TZ|107A12,154,802,504311,Transbordo,3853,,107A12
2020-11-15,2020-11-15,05:06:13,105,35015,375A12_GM|375A12,385,539,507036,Transbordo,4361,,375A12
2020-11-15,2020-11-15,05:06:15,105,33907,107A12_TZ|107A12,154,802,504311,Transbordo,3853,,107A12
2020-11-15,2020-11-15,05:06:18,105,30968,169A12_GM|169A12 - Br. Nuevo Porvenir,117,674,507017,Transbordo,4192,,169A12
2020-11-15,2020-11-15,05:06:18,105,33907,107A12_TZ|107A12,154,802,504311,Transbordo,3853,,107A12
2020-11-15,2020-11-15,05:06:18,105,42304,066B05_GM|066B05 - Br Los Laureles Kr 113B,384,SE14,507111,Transbordo,3833,,066B05
2020-11-15,2020-11-15,05:06:20,105,27711,111A05_GM|111A05 - U.M. Emaus Hospital Engativ,945,466_GM,507004,Transbordo,4369,,111A05
2020-11-15,2020-11-15,05:06:22,105,52935,315A05_TM|315A05_Br. Isabela,1083,402,507000,Transbordo,4788,,315A05
2020-11-15,2020-11-15,05:06:22,105,33907,107A12_TZ|107A12,154,802,504311,Transbordo,3853,,107A12
2020-11-15,2020-11-15,05:06:23,105,30968,169A12_GM|169A12 - Br. Nuevo Porvenir,117,674,507017,Transbordo,4192,,169A12
2020-11-15,2020-11-15,05:06:28,105,30989,134A12_GM|134A12 - Pq Pï¿½blico Av. Caracas,383,806,502115,Transbordo,3122,,134A12
2020-11-15,2020-11-15,05:06:28,105,42304,066B05_GM|066B05 - Br Los Laureles Kr 113B,384,SE14,507111,Transbordo,3833,,066B05
2020-11-15,2020-11-15,05:06:32,105,50984,066A05_TM|066A05_Br. Los Laureles,1103,SE10,502018,Transbordo,4885,,066A05
2020-11-15,2020-11-15,05:06:39,105,27711,111A05_GM|111A05 - U.M. Emaus Hospital Engativ,945,466_GM,507004,Transbordo,4369,,111A05
2020-11-15,2020-11-15,05:06:45,105,48438,110B05_GM|Br. Sabana del Dorado_110B05,976,801_GM,504109,Transbordo,4116,,110B05
2020-11-15,2020-11-15,05:06:46,105,39535,364A11_GM|364A11 - Est. Molinos,320,C101,502097,Transbordo,3193,,364A11
2020-11-15,2020-11-15,05:06:50,105,52363,064B05_TM|064B05_Br. Bonaire,1103,SE10,502018,Transbordo,4885,,064B05
2020-11-15,2020-11-15,05:06:50,105,27717,260A05_GM|260A05 - Br. San Antonio Engativ,234,626B,504059,Transbordo,2154,,260A05
2020-11-15,2020-11-15,05:06:52,105,27681,070A05_GM|070A05 - Br. Sabana del Dorado Cl  63B,281,577,502111,Transbordo,4178,,070A05
2020-11-15,2020-11-15,05:06:54,105,27717,260A05_GM|260A05 - Br. San Antonio Engativ,234,626B,504059,Transbordo,2154,,260A05
2020-11-15,2020-11-15,05:06:55,105,39535,364A11_GM|364A11 - Est. Molinos,320,C101,502097,Transbordo,3193,,364A11
2020-11-15,2020-11-15,05:06:55,105,44989,174B05_GM|Pq. Pï¿½blico Plazuelas del Virrey-174B05.,8,128,504429,Transbordo,3791,,174B05
2020-11-15,2020-11-15,05:06:57,105,48437,068B05_GM|Liceo Salomï¿½abio_068B05,118,403A,504257,Transbordo,3128,,068B05
2020-11-15,2020-11-15,05:06:58,105,27717,260A05_GM|260A05 - Br. San Antonio Engativ,234,626B,504059,Transbordo,2154,,260A05
2020-11-15,2020-11-15,05:06:58,105,39535,364A11_GM|364A11 - Est. Molinos,320,C101,502097,Transbordo,3193,,364A11
2020-11-15,2020-11-15,05:06:59,105,52370,070B05_TM|070B05_Br. Sabana del Dorado,1062,E25,504184,Viaje Inicial,4886,,070B05
2020-11-15,2020-11-15,05:06:59,105,44989,174B05_GM|Pq. Pï¿½blico Plazuelas del Virrey-174B05.,8,128,504429,Transbordo,3791,,174B05
2020-11-15,2020-11-15,05:07:00,105,27681,070A05_GM|070A05 - Br. Sabana del Dorado Cl  63B,281,577,502111,Transbordo,4178,,070A05
2020-11-15,2020-11-15,05:07:11,105,53465,377A06_TM|377A06_Estaciï¿½odelia,1057,P500,504343,Transbordo,4646,,377A06
2020-11-15,2020-11-15,05:07:11,105,33752,TZ-109A12,154,802,504311,Transbordo,3853,,109A12
2020-11-15,2020-11-15,05:07:20,105,44139,064B05_GM|Br Bonaire Cl 64,385,539,507011,Transbordo,4362,,064B05
2020-11-15,2020-11-15,05:07:22,105,44607,159A06_GM|Br. Villa Carmenza,74,12,502069,Transbordo,4180,,159A06
2020-11-15,2020-11-15,05:07:28,105,50987,066C05_TM|066C05_Br. Los Laureles,195,C25,507066,Transbordo,4679,,066C05
2020-11-15,2020-11-15,05:07:29,105,30970,173A12_GM|Br. Nuevo Portal Dg 98 S_173A12,385,539,507036,Transbordo,4361,,173A12
2020-11-15,2020-11-15,05:07:32,105,50987,066C05_TM|066C05_Br. Los Laureles,195,C25,507066,Transbordo,4679,,066C05
2020-11-15,2020-11-15,05:07:33,105,30968,169A12_GM|169A12 - Br. Nuevo Porvenir,117,674,507017,Transbordo,4192,,169A12
